text,label
"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture Isaac Llorente-Saguer1 1Independent Researcher, London, United Kingdom illorentes@gmail","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
"com March 10, 2026 Abstract We present a fully device-resident, multi-GPU architecture for the large-scale computational verification of Goldbach’s conjecture","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" In prior work, a segmented double-sieve eliminated monolithic VRAM bottlenecks but remained constrained by host-side sieve construction and PCIe transfer latency","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" In this work, we migrate the entire segment generation pipeline to the GPU using highly optimised L1 shared-memory tiling, achieving near-zero host-device communication during the critical verification path","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" To fully leverage heterogeneous multi-GPU clusters, we introduce an asynchronous, lock-free work-stealing pool that replaces static workload partitioning with atomic segment claiming, enabling 99","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
7% parallel efficiency at 2 GPUs and 98,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
6% at 4 GPUs,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 We further implement strict mathematical overflow guards guaranteeing the soundness of the 64-bit verification pipeline up to its theoretical ceiling of 1 ,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
84 × 1019,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" On the same hardware, the new architecture achieves a 45 ","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
6× algorithmic speedup over its host-coupled predecessor at N = 1010,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" End-to-end, the framework verifies Goldbach’s conjecture up to 10 12 in 36","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
"5 seconds on a single NVIDIA RTX 5090, and up to 10 13 in 133","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
5 seconds on a four-GPU system,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 All code is open-source and reproducible on commodity hardware,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 1 Introduction Goldbach’s conjecture asserts that every even integer greater than 2 can be expressed as the sum of two prime numbers,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" Despite theoretical advances, such as Chen’s theorem [ 1] on the sum-of-a-prime- and-semiprime representation, and Helfgott’s proof of the ternary variant [ 2], the binary conjecture remains unproven","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" Computational verification, therefore, provides a valuable empirical foundation, with the current academic record standing at 4 × 1018, established by Oliveira e Silva, Herzog, and Pardi [3] via highly optimised CPU sieves distributed across computing clusters over several years","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" In prior work [4], we identified that the VRAM ceiling plaguing earlier GPU implementations was architectural rather than fundamental","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" A segmented double-sieve design, combined with a dense bit-packed prime representation, reduced the constant VRAM footprint to 14 MB regardless of the search limit, enabling exhaustive verification to 10 12 on a single consumer GPU","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
